station_name,distance
Kensal Rise,3494.2475205699297
Riddlesdown,3494.3448597822385
Burnt Oak,3494.3838564536804
Holland Park,3494.387655727769
West Brompton,3494.4538875826393
Edgware,3494.6225972220495
Kensal Green,3494.643477467485
Dollis Hill,3494.717576827432
Fulham Broadway,3494.731975420133
Kenley,3494.7767883171055
Latimer Road,3494.824569818111
Beddington Lane,3494.8661500161875
Tooting,3494.8759686701733
Mitcham Eastfields,3494.877480516613
Wandsworth Town,3494.9947920888967
Caterham,3494.9975173378525
Kensington (Olympia),3494.9982700947076
West Kensington,3495.033709006695
Purley,3495.073171424478
Tooting Broadway,3495.0906490138937
Shepherds Bush,3495.2629009959933
Parsons Green,3495.300966827105
Neasden,3495.339432822557
White City,3495.3555121974305
Wood Lane,3495.4462423518125
Barons Court,3495.4958998452444
Earlsfield,3495.693721448119
Mitcham Junction,3495.705570487926
Shepherds Bush Market,3495.7836323974198
Willesden Junction,3495.815953154468
Goldhawk Road,3495.9332104024675
Reedham,3495.9417326050825
Colliers Wood,3495.982221617871
Kingsbury,3495.994783224183
Hammersmith (District),3496.042654676506
Hackbridge,3496.0756509597736
Hammersmith (Met.),3496.0922308279255
Putney Bridge,3496.1126033512746
Canons Park,3496.123986630014
Queensbury,3496.1416156233017
Stanmore,3496.21651237919
Mitcham,3496.398956172996
Haydons Road,3496.4624906278445
Harlesden,3496.535428367216
East Putney,3496.571828576275
Wallington,3496.574330023414
East Acton,3496.7137692647207
Belgrave Walk,3496.7549188306452
Wimbledon Park,3496.765794908564
Ravenscourt Park,3496.801121657464
Southfields,3496.8395250804847
Putney,3496.8524694597895
Wembley Park,3496.8791234428763
Phipps Bridge,3496.905302021954
Coulsdon Town,3497.006989075896
South Wimbledon,3497.05788410621
North Acton,3497.1826531255306
Carshalton,3497.2590639588134
Morden Road,3497.3678838316314
Stamford Brook,3497.3853918909845
Stonebridge Park,3497.3884278505875
Coulsdon South,3497.5013590159556
Preston Road,3497.550552018142
Wembley Stadium,3497.6576414158594
Merton Park,3497.741408380129
Morden,3497.7643907194297
Wimbledon,3497.78078905567
Carshalton Beeches,3497.896795449314
Acton Main Line,3497.953584991389
Turnham Green,3497.955960011767
Dundonald Road,3497.983143098261
Acton Central,3497.997716722929
Barnes,3498.2526656221876
Morden South,3498.3492319067127
South Merton,3498.414627290926
Woodmansterne,3498.4328039090133
Wembley Central,3498.4346995070796
South Kenton,3498.441899385004
Kenton,3498.489349743789
North Wembley,3498.5097959879204
St Helier,3498.518924328974
Park Royal,3498.6762685547887
Wimbledon Chase,3498.718284856849
Barnes Bridge,3498.7192996051403
West Acton,3498.7562586747804
South Acton,3498.792403929358
Northwick Park,3498.798661308787
Chiswick Park,3498.84129441959
